"","NCV_idx","SM_idx","SPR_idx","CS_idx","CommOrg_idx","SPR_extra"
"NCV_idx",0,0.015729898547225,6.56234876815507e-05,0.0462433954752184,0.310457899843883,0.280289532442425
"SM_idx",0.00174776650524722,0,1.27365194972532e-07,1.0484407676648e-05,0.012577166308302,0.310457899843883
"SPR_idx",5.46862397346256e-06,8.49101299816882e-09,0,6.43728292852094e-05,0.280289532442425,0.310457899843883
"CS_idx",0.00660619935360263,7.48886262617712e-07,4.95175609886226e-06,0,0.0172323841604676,0.0133287250663355
"CommOrg_idx",0.0776144749609707,0.00114337875530018,0.054572984518111,0.00215404802005845,0,0.395677706034383
"SPR_extra",0.0467149220737375,0.0850319682860809,0.122890143118335,0.00133287250663355,0.395677706034383,0
