"","NCV_idx","SM_idx","SPR_idx","CS_idx","CommOrg_idx","SPR_extra"
"NCV_idx",1,0.398968801289922,0.553404013553334,0.349838233188343,0.231564800507623,0.26002037788249
"SM_idx",0.398968801289922,1,0.66617763117659,0.592937459170929,0.413203103981088,0.22613617685373
"SPR_idx",0.553404013553334,0.66617763117659,1,0.555504562448242,0.25159828534603,0.203095474515527
"CS_idx",0.349838233188343,0.592937459170929,0.555504562448242,1,0.39172257820252,0.408130569299028
"CommOrg_idx",0.231564800507623,0.413203103981088,0.25159828534603,0.39172257820252,1,0.112635497559779
"SPR_extra",0.26002037788249,0.22613617685373,0.203095474515527,0.408130569299028,0.112635497559779,1
